State,Agency,Code,Name,Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all18,R2_all18,RMSE_all18
MG,ANA,1444001,Capitânea,-14.4311,-44.4817,523.0,1981.0,1999.0,18.0,6040.241,0.21,37.64,1.1,3019.5435,0.2169923,35.399292,0.9749548,0.9718451689960872,0.9718451689960872,9.983234318990753
MG,ANA,1444004,Juvenilia (Montalvânia),-14.2658,-44.1572,440.0,1981.0,1999.0,18.0,1070.596,0.199,19.542,0.776,2649.5247,0.21160638,32.01965,0.9595033,0.9980806109121267,0.9980806109121267,2.145122978214363
MG,ANA,1446003,Formoso,-14.93329999,-46.25,840.0,1983.0,1999.0,17.0,3500.0,0.195,27.406,0.972,4168.737,0.14943825,32.972576,1.0609772,0.7048870022464191,0.7048870022464191,35.76437382855499
MG,ANA,1541010,Itamarati,-15.5808,-41.4086,687.0,1994.0,2009.0,15.0,2210.5,0.153,33.4,0.8938,264.96945,0.17652293,5.5040193e-08,0.63921875,0.6915053005979219,0.6915053005979219,23.573079523361095
MG,ANA,1543002,Colônia do Jaíba,-15.3411,-43.6753,450.0,1988.0,1999.0,19.0,6527.477,0.226,32.114,1.141,622.4194,0.21216212,6.808448e-12,0.7975381,0.859787890541611,0.859787890541611,24.529768805702904
MG,ANA,1543013,Janaúba,-15.7756,-43.27969999,498.0,1976.0,1999.0,22.0,4323.837,0.224,45.869,1.03,627.7031,0.19803333,1.0959872e-07,0.7950173,0.8974900894632939,0.8974900894632939,16.4614545647372
MG,ANA,1544006,Januária,-15.4833,-44.3667,474.0,1980.0,1999.0,16.0,1513.706,0.155,19.554,0.813,2455.2732,0.21596365,29.610039,0.9638085,0.9687879218912768,0.9687879218912768,9.133169855672554
MG,ANA,1544012,São Francisco,-15.9494,-44.8681,448.0,1980.0,1999.0,20.0,3666.006,0.235,32.782,1.038,3320.7568,0.15957431,38.969955,1.0268017,0.730753273213091,0.730753273213091,29.002654900605968
MG,ANA,1544017,Pedras de Maria da Cruz,-15.5978,-44.3903,434.0,1981.0,1999.0,17.0,574.945,0.198,7.787,0.71,2380.7756,0.21339911,29.477655,0.96093595,0.9755959808145996,0.9755959808145996,6.796778946088882
MG,ANA,1544029,Mocambinho (Ruralminas),-15.05,-44.0167,452.0,1986.0,1999.0,13.0,1088.655,0.218,12.278,0.814,1071.752,0.19170879,16.86309,0.85886335,0.7781652576632208,0.7781652576632208,26.53090080472155
MG,ANA,1546001,Buritis - Jusante,-15.6158,-46.415,538.0,1980.0,1999.0,14.0,2450.458,0.225,29.391,0.944,3619.4778,0.18591984,41.814377,1.0213128,0.8689893698270917,0.8689893698270917,19.93732246460223
MG,ANA,1546008,Arinos (INMET),-15.9153,-46.1072,519.0,1983.0,1999.0,17.0,3500.0,0.166,41.086,0.942,1613.9576,0.16830826,3.9021783,0.90216,0.718217983955703,0.718217983955703,27.250223770862103
MG,ANA,1640000,Jacinto,-16.1386,-40.2903,160.0,1973.0,1999.0,26.0,3038.921,0.225,25.041,0.993,7849.2173,0.15069853,58.283394,1.1330221,0.70365677880706,0.70365677880706,34.05432846277699
MG,ANA,1641001,Itaobim,-16.5683,-41.5031,241.0,1973.0,1999.0,26.0,1718.688,0.175,17.525,0.9,1486.4645,0.17613983,21.178543,0.9010875,0.905603427790359,0.905603427790359,15.104041646769057
MG,ANA,1641008,Pedra Azul (Fortaleza),-16.0,-41.28329999,649.0,1983.0,1999.0,17.0,4451.964,0.176,37.326,1.013,835.4983,0.13795486,20.231123,0.82439005,0.33869851198252765,0.33869851198252765,44.46819539260915
MG,ANA,1641010,Itinga,-16.61809999,-41.76749999,278.0,1977.0,1999.0,23.0,6482.993,0.216,35.23,1.154,1682.2301,0.15101196,19.929163,0.9179778,0.8273224378450058,0.8273224378450058,23.07351954272836
MG,ANA,1642000,Araçuaí,-16.8667,-42.0667,284.0,1986.0,1999.0,10.0,3450.0,0.225,58.409,0.947,1918.3468,0.17278357,18.006401,0.93650085,0.9341524197953966,0.9341524197953966,12.482223180240096
MG,ANA,1642019,Salinas,-16.2667,-42.05,471.0,1982.0,1999.0,18.0,4600.0,0.203,34.952,1.033,1203.3685,0.18999092,15.5349455,0.872099,0.7792706445828873,0.7792706445828873,28.42846179696895
MG,ANA,1642029,UHE Irapé Rio Itacambiruçu,-16.5925,-42.9164,829.0,1986.0,1998.0,13.0,5618.979,0.199,37.915,1.074,2525.6763,0.18013063,28.714512,0.9846739,0.8150488262882204,0.8150488262882204,25.16446499742698
MG,ANA,1643009,Montes Claros,-16.71669999,-43.8667,646.0,1982.0,1999.0,18.0,4050.0,0.167,34.789,0.992,2759.7476,0.17186624,43.78909,0.99994403,0.5761626894633824,0.5761626894633824,35.65394794194711
MG,ANA,1643020,Capitão Enéas,-16.32219999,-43.715,908.0,1978.0,1999.0,20.0,8561.537,0.212,48.442,1.125,1432.3022,0.19177975,21.44104,0.90686923,0.6499543456382778,0.6499543456382778,37.303243100310574
MG,ANA,1643024,Juramento,-16.7833,-43.7167,650.0,1987.0,1999.0,13.0,1464.55,0.194,22.467,0.817,2945.311,0.15888862,43.30679,1.0084032,0.5775281889621978,0.5775281889621978,34.799064163597336
MG,ANA,1645000,São Romão,-16.3717,-45.0828,472.0,1978.0,1999.0,21.0,1119.829,0.184,15.2,0.777,3290.9421,0.15558574,41.07358,1.0087755,0.7407971139251941,0.7407971139251941,27.11261010336424
MG,ANA,1645009,Cachoeira da Manteiga,-16.6569,-45.0808,500.0,1981.0,1999.0,19.0,3794.292,0.232,34.584,1.013,4213.3545,0.18686205,80.974525,1.0272597,0.4153534171155062,0.4153534171155062,46.4647257279905
MG,ANA,1645010,Barra do Escuro,-16.2833,-45.2333,480.0,1978.0,1987.0,10.0,3000.0,0.234,31.843,0.954,3826.179,0.14101471,41.507862,1.0298308,0.5840303032262111,0.5840303032262111,41.33246889629498
MG,ANA,1646000,Porto dos Poções,-16.8297,-46.3222,540.0,1981.0,1999.0,16.0,5240.505,0.187,30.472,1.065,2274.2668,0.16519521,23.27101,0.96276414,0.7947912962449221,0.7947912962449221,28.548011117366887
MG,ANA,1646001,Unaí,-16.3514,-46.8897,640.0,1975.0,1999.0,15.0,3348.439,0.206,28.386,0.986,1960.6456,0.16844738,12.632023,0.9212709,0.9787023794081356,0.9787023794081356,8.904049999628604
MG,ANA,1646003,Santo Antonio do Boqueirão,-16.52969999,-46.7211,640.0,1990.0,2008.0,19.0,2980.0,0.1598,26.0,0.9306,1776.7499,0.17169052,12.740461,0.9087788,0.9693954858969811,0.9693954858969811,10.340622610149092
MG,ANA,1646004,Fazenda O Resfriado,-16.5028,-46.66279999,575.0,1982.0,1999.0,16.0,2500.0,0.202,43.912,0.853,1712.0846,0.16678801,11.515682,0.90745705,0.9052766641964467,0.9052766641964467,17.633257310303986
MG,ANA,1647008,Fazenda Limeira,-16.2089,-47.2325,575.0,1982.0,1999.0,13.0,522.749,0.193,8.503,0.61,1685.6189,0.19136687,12.765696,0.9069662,0.9734328414788511,0.9734328414788511,8.369683431409305
