Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all,R2_all,RMSE_all
-20.2408,-56.3958,141.0,,,30.0,6408.84,0.223,32.63,1.05,2113.1865,0.17497501,22.118011,0.8607226,0.7677740798787883,0.7677740798787883,50.527570421571816
-20.7644,-56.0931,139.0,,,33.0,6249.01,0.183,32.48,1.06,2125.2498,0.15624702,22.118309,0.86072475,0.913738934450721,0.913738934450721,24.713897956628863
-20.1019,-56.7953,140.0,,,32.0,7143.01,0.193,33.11,1.06,2113.1865,0.17497501,22.118011,0.8607226,0.8174006535612806,0.8174006535612806,42.04958035897839
-20.8006,-52.3883,316.0,,,41.0,5518.75,0.163,32.76,1.06,1230.8823,0.14271846,13.176752,0.8005618,0.9546666146535905,0.9546666146535905,14.511856510176502
-21.7258,-52.3342,293.0,,,41.0,6326.17,0.183,32.66,1.05,18240.02,0.17769128,141.62444,1.1394402,0.1986034591264334,0.1986034591264334,78.65817767836596
-21.2953,-52.8106,393.0,,,37.0,5786.05,0.153,32.77,1.06,3095.0754,0.14359087,45.709896,0.9246224,0.6761725947987263,0.6761725947987263,39.11306331034295
-21.6153,-53.0522,271.0,,,41.0,6424.37,0.223,32.1,1.06,4863.6963,0.13765676,60.7296,0.97964567,0.15517222339197023,0.15517222339197023,94.54341127482792
-21.6472,-54.4253,530.0,,,41.0,6120.84,0.213,32.72,1.06,3824.5366,0.14146027,41.593735,0.94092304,0.6189321402125713,0.6189321402125713,57.07122967898427
-21.8061,-54.60309999,321.0,,,41.0,7146.46,0.223,32.55,1.06,5551.366,0.14016291,50.036434,0.9799514,0.4459043737375392,0.4459043737375392,84.12610830510866
-21.6889,-57.3597,213.0,,,32.0,6568.71,0.203,32.86,1.06,3322.7039,0.17177023,26.9607,0.90249854,0.9864127480132084,0.9864127480132084,11.059263783914165
-22.1864,-52.7133,284.0,,,41.0,5593.33,0.173,32.72,1.06,9680.145,0.20205379,88.02083,1.055103,0.8712137479284843,0.8712137479284843,25.80775103987505
-22.6244,-54.8247,454.0,,,36.0,6149.91,0.193,32.83,1.06,17075.96,0.1690803,94.69239,1.1265689,0.7855418472489373,0.7855418472489373,39.53502887856225
-22.3981,-54.7917,293.0,,,41.0,6546.29,0.173,32.67,1.06,17436.352,0.15585074,94.94231,1.1306272,0.7312532252468704,0.7312532252468704,43.692901430110126
-22.0142,-57.0322,232.0,,,33.0,6395.67,0.203,32.61,1.05,3277.3252,0.14036,27.369797,0.90467334,0.8757372222849618,0.8757372222849618,33.99018876859039
