Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
01144005,FAZENDA MACAMBIRA,46,COTEGIPE,BAHIA,ANA,-11.6139,-44.1575,1963-12-01,2019-11-30,57,1.5,45,21.1
01144014,SÃO SEBASTIÃO,46,ANGICAL,BAHIA,ANA,-11.9794,-44.8772,1972-07-01,2019-09-30,48,1.1,29,39.6
01144027,IBIPETUBA,46,SANTA RITA DE CÁSSI,BAHIA,ANA,-11.0061,-44.5256,1911-11-01,2019-11-30,109,14.9,85,22.0
01145001,FORMOSA DO RIO PRETO,46,FORMOSA DO RIO PRET,BAHIA,ANA,-11.0478,-45.2019,1941-09-01,2019-11-30,79,6.0,61,22.8
01145004,FAZENDA BOM JARDIM,46,FORMOSA DO RIO PRET,BAHIA,ANA,-10.9925,-45.5267,1963-04-01,2019-11-30,57,13.5,25,56.1
01145013,PONTE SERAFIM - MONTANTE,46,BARREIRAS,BAHIA,ANA,-11.8961,-45.6119,1962-03-23,2019-11-30,58,23.5,34,41.4
01145014,NOVA VIDA - MONTANTE,46,BARREIRAS,BAHIA,ANA,-11.8525,-45.1222,1972-07-01,2019-11-30,48,2.8,38,20.8
01145019,CARIPARÉ,46,RIACHÃO DAS NEVES,BAHIA,ANA,-11.5119,-45.0419,1984-04-11,2019-11-30,36,1.9,23,36.1
01146000,DIANÓPOLIS,22,DIANÓPOLIS,TOCANTINS,ANA,-11.6253,-46.8106,1971-12-07,2019-08-31,49,6.7,27,44.9
01147000,ALMAS,22,ALMAS,TOCANTINS,ANA,-11.5789,-47.1739,1973-09-20,2019-08-31,47,3.0,37,21.3
01147001,NATIVIDADE,22,NATIVIDADE,TOCANTINS,ANA,-11.6969,-47.7283,1973-08-21,2019-08-31,47,8.3,21,55.3
01147002,PINDORAMA DO TOCANTINS,22,PINDORAMA DO TOCANT,TOCANTINS,ANA,-11.1403,-47.5767,1973-09-28,2019-09-30,47,0.2,43,8.5
01147003,PORTO ALEGRE,22,PORTO ALEGRE DO TOC,TOCANTINS,ANA,-11.61,-47.045,1975-08-26,2019-11-30,45,6.2,33,26.7
01148000,FAZENDA LOBEIRA,22,SÃO VALÉRIO DA NATI,TOCANTINS,ANA,-11.5314,-48.2947,1969-08-05,2019-10-31,51,3.1,42,17.6
01149000,DUERE,26,DUERÉ,TOCANTINS,ANA,-11.3389,-49.2653,1973-08-31,2019-07-31,47,3.3,38,19.1
01149001,FORMOSO DO ARAGUAIA,26,FORMOSO DO ARAGUAIA,TOCANTINS,ANA,-11.7972,-49.525,1973-09-22,2018-03-01,46,3.4,34,26.1
01149002,GURUPI,26,GURUPI,TOCANTINS,ANA,-11.7372,-49.1361,1971-12-16,2019-07-31,49,8.4,35,28.6
01150001,SÃO FÉLIX DO ARAGUAIA,26,SÃO FÉLIX DO ARAGUA,MATO GROSSO,ANA,-11.6197,-50.6625,1973-09-01,2019-11-30,47,3.0,37,21.3
01151000,BATE PAPO,26,ALTO BOA VISTA,MATO GROSSO,ANA,-11.6747,-51.3764,1983-12-05,2019-08-31,37,6.0,27,27.0
01152000,SUIA LIQUILÂNDIA,18,SÃO FÉLIX DO ARAGUA,MATO GROSSO,ANA,-11.73,-51.9889,1976-06-21,2018-10-31,43,19.9,22,48.8
01154001,SANTA FELICIDADE,18,SANTA CARMEM,MATO GROSSO,ANA,-11.9292,-54.9981,1982-04-01,2019-08-31,38,15.0,16,57.9
01154002,FAZENDA RIO NEGRO,18,UNIÃO DO SUL,MATO GROSSO,ANA,-11.5242,-54.3589,1999-10-27,2019-06-30,21,7.2,9,57.1
01155000,CACHOEIRÃO,17,SINOP,MATO GROSSO,ANA,-11.6511,-55.7025,1975-11-17,2019-09-30,45,13.0,18,60.0
01156000,FAZENDA ITAUBA,17,TABAPORÃ,MATO GROSSO,ANA,-11.4714,-56.4333,1982-03-29,2019-07-31,38,3.4,22,42.1
01156001,SINOP (FAZENDA SEMPRE VERDE),17,PORTO DOS GAÚCHOS,MATO GROSSO,ANA,-11.6914,-55.4486,1983-11-17,2019-07-31,37,6.7,23,37.8
01157000,PORTO DOS GAÚCHOS,17,PORTO DOS GAÚCHOS,MATO GROSSO,ANA,-11.5358,-57.4172,1973-09-14,2019-10-31,47,19.5,23,51.1
01157001,JUARA,17,JUARA,MATO GROSSO,ANA,-11.2531,-57.5067,1983-12-01,2019-07-31,37,6.1,18,51.4
01157002,OLHO D'ÁGUA,17,PORTO DOS GAÚCHOS,MATO GROSSO,ANA,-11.715,-57.0419,1999-12-04,2019-07-31,21,2.7,12,42.9
01158001,FONTANILHAS,17,JUÍNA,MATO GROSSO,ANA,-11.3417,-58.3383,1979-02-22,2019-10-31,41,3.4,31,24.4
01158002,JUÍNA,17,JUÍNA,MATO GROSSO,ANA,-11.4081,-58.7186,1984-09-10,2019-08-31,36,3.8,21,41.7
01158003,FAZENDA TOMBADOR,17,BRASNORTE,MATO GROSSO,ANA,-11.7178,-58.0472,1984-09-01,2019-10-31,36,8.2,12,66.7
01160000,MARCO RONDON,15,PIMENTA BUENO,RONDÔNIA,ANA,-12.0153,-60.855,1977-12-25,2019-08-31,43,6.0,26,39.5
01160002,FAZENDA FLOR DO CAMPO,15,PIMENTA BUENO,RONDÔNIA,ANA,-11.7489,-60.8678,1982-12-13,2019-11-30,38,5.5,28,26.3
01161000,VISTA ALEGRE,15,CACOAL,RONDÔNIA,ANA,-11.4408,-61.4839,1977-12-24,2019-08-31,43,7.6,27,37.2
01161001,PIMENTA BUENO,15,PIMENTA BUENO,RONDÔNIA,ANA,-11.6836,-61.1922,1980-01-01,2019-10-31,40,5.8,29,27.5
01161002,ROLIM DE MOURA,15,ROLIM DE MOURA,RONDÔNIA,ANA,-11.7497,-61.7764,1983-03-13,2019-08-31,37,9.2,20,45.9
01161003,MINISTRO ANDREAZZA,15,MINISTRO ANDREAZZA,RONDÔNIA,ANA,-11.1969,-61.5281,1999-11-25,2019-08-31,21,2.6,12,42.9
01166000,RIBERALTA 045,15,BOLÍVIA,BOLÍVIA,BOLÍVIA,-11.0167,-66.0833,1949-04-01,2019-11-30,71,7.6,57,19.7
01168001,BRASILÉIA,13,BRASILÉIA,ACRE,ANA,-11.0233,-68.735,1980-10-28,2019-09-30,40,8.7,19,52.5
01168002,COBIJA,13,BOLÍVIA,BOLÍVIA,BOLÍVIA,-11.0833,-68.8667,1949-04-01,2019-11-30,71,3.1,62,12.7
01237000,CORTE GRANDE,50,ESPLANADA,BAHIA,ANA,-12.0575,-37.7564,1965-11-12,2019-11-30,55,8.0,25,54.5
01237003,JANGADO,50,CARDEAL DA SILVA,BAHIA,ANA,-12.1303,-37.9417,1995-10-27,2019-11-30,25,0.7,20,20.0
01238000,TIRIRICA,50,CAMAÇARI,BAHIA,ANA,-12.5703,-38.0567,1962-07-01,2019-10-31,58,2.0,45,22.4
01238010,ARAÇAS,50,ARAÇAS,BAHIA,ANA,-12.2103,-38.2006,1963-04-06,2019-11-30,57,3.4,38,33.3
01238042,BURACICA,50,ALAGOINHAS,BAHIA,ANA,-12.2514,-38.515,1963-07-01,2019-10-31,57,3.0,38,33.3
01238046,EMBOACICA,50,CAMAÇARI,BAHIA,ANA,-12.6031,-38.1375,1961-04-25,2019-11-30,59,8.0,27,54.2
01238051,TEODORO SAMPAIO,50,TEODORO SAMPAIO,BAHIA,ANA,-12.3003,-38.6439,1963-09-05,2019-11-30,57,7.3,26,54.4
01239007,ARGOIM,51,RAFAEL JAMBEIRO,BAHIA,ANA,-12.585,-39.5183,1959-09-01,2019-11-30,61,2.8,51,16.4
01240012,ITAETÉ,51,ITAETÉ,BAHIA,ANA,-12.99,-40.9633,1933-11-01,2019-10-31,87,0.6,73,16.1
01240016,IAÇU,51,IAÇU,BAHIA,ANA,-12.7622,-40.2108,1944-08-01,2019-11-30,76,6.4,41,46.1
01241001,FAZENDA IGUAÇU,51,ITAETÉ,BAHIA,ANA,-12.9347,-41.0658,1969-06-27,2019-11-30,51,0.7,42,17.6
01241008,ANDARAÍ,51,ANDARAÍ,BAHIA,ANA,-12.8017,-41.3275,1943-07-01,2019-11-30,77,7.3,53,31.2
01241017,PORTO,51,LENÇÓIS,BAHIA,ANA,-12.4975,-41.2961,1941-07-01,2019-11-30,79,1.5,64,19.0
01241026,UTINGA,51,UTINGA,BAHIA,ANA,-12.5019,-41.2078,1976-12-19,2019-11-30,44,27.0,24,45.5
01241027,FAZENDA RIBEIRO,51,BONITO,BAHIA,ANA,-12.06,-41.3475,1976-12-31,2019-10-31,44,28.4,23,47.7
01241028,ESTAÇÃO EXPERIMENTAL,51,UTINGA,BAHIA,ANA,-12.0192,-41.0547,1991-10-23,2019-11-30,29,1.1,23,20.7
