,Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latitude,Longitude,P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm)
-6.408900,-38.863600,65.00,59.60,70.00,39.30,87.70,99.40,68.00,68.20,68.10,68.10,80.00,53.30,,,,,,,,,,,,,,
-6.212800,-38.425600,48.20,100.40,77.00,51.60,56.20,93.20,56.40,78.40,58.20,108.10,43.50,82.50,,,,,,,,,,,,,,
-6.374400,-39.293300,68.10,74.30,105.00,94.30,87.40,90.40,53.20,94.10,94.90,97.90,88.70,86.70,,,,,,,,,,,,,,
-6.646100,-39.959400,48.00,42.50,70.20,72.00,41.00,50.80,43.40,42.80,70.10,61.90,84.20,38.50,,,,,,,,,,,,,,
-6.973100,-42.106100,82.00,65.00,68.50,59.90,103.00,86.70,63.50,86.50,,,,,,,,,,,,,,,,,,
-6.610000,-43.401100,116.30,95.70,82.10,67.30,77.90,80.90,54.80,76.60,,,,,,,,,,,,,,,,,,
-6.174700,-43.779200,85.30,85.70,178.20,58.60,118.60,76.20,94.20,126.00,,,,,,,,,,,,,,,,,,
-6.761400,-43.027800,69.40,55.40,83.60,49.20,121.00,87.60,95.20,105.00,,,,,,,,,,,,,,,,,,
-6.027500,-44.253900,75.20,73.70,77.80,56.10,164.30,89.00,69.90,126.70,,,,,,,,,,,,,,,,,,
-6.369200,-44.359400,80.50,87.90,107.10,82.60,149.10,63.70,103.50,54.30,,,,,,,,,,,,,,,,,,
-6.010300,-44.344400,83.40,82.40,86.10,52.10,70.40,69.10,65.80,82.60,,,,,,,,,,,,,,,,,,
-6.063900,-44.716400,86.40,77.90,127.10,73.60,115.10,107.40,88.50,59.10,,,,,,,,,,,,,,,,,,
-6.002200,-45.394200,99.70,76.40,81.30,46.80,128.30,110.50,103.40,110.80,,,,,,,,,,,,,,,,,,
-6.844200,-45.109200,98.10,99.50,87.00,63.00,69.70,64.60,70.00,71.50,,,,,,,,,,,,,,,,,,
-6.039200,-45.920600,12.30,18.00,16.20,11.50,85.00,11.30,,98.00,,,,,,,,,,,,,,,,,,
-6.818300,-46.333600,96.00,64.60,81.80,72.10,101.90,57.10,71.80,73.40,,,,,,,,,,,,,,,,,,
-6.192800,-46.268900,101.40,74.70,168.20,136.80,86.00,140.00,52.10,97.00,,,,,,,,,,,,,,,,,,
-6.427800,-49.419700,98.20,97.80,170.00,91.00,127.50,71.00,79.00,96.80,124.60,91.50,100.40,85.50,,,,,,,,,,,,,,
-6.794700,-49.548600,144.20,72.00,163.00,67.70,105.00,64.10,73.50,96.30,73.70,108.70,77.50,84.10,,,,,,,,,,,,,,
-6.105300,-49.377500,67.50,78.20,79.80,108.10,68.70,97.90,56.40,65.60,57.90,55.60,119.10,68.50,,,,,,,,,,,,,,
-6.869200,-49.098600,130.90,88.20,142.30,66.40,91.00,105.00,83.20,98.90,101.00,66.90,96.20,91.30,,,,,,,,,,,,,,
-6.795300,-59.040800,93.20,98.30,74.30,80.30,64.30,125.20,150.20,53.50,79.40,82.30,93.10,70.40,,,,,,,,,,,,,,
-6.360600,-61.766700,86.20,77.00,93.50,,,,,,,,62.00,,,,,,,,,,,,,,,
-6.538900,-64.385800,80.20,88.10,120.50,,,,,,,,72.50,76.40,,,,,,,,,,,,,,
-7.029400,-35.468100,43.00,53.30,47.90,37.50,79.50,73.00,57.50,47.30,85.00,183.60,48.50,27.00,,,,,,,,,,,,,,
-7.130000,-35.047500,50.80,45.10,48.80,80.00,105.70,101.10,46.50,84.30,103.50,56.70,45.10,48.50,,,,,,,,,,,,,,
-7.968100,-35.156700,98.40,82.70,74.60,40.50,65.20,114.00,62.90,68.50,103.70,48.00,140.90,67.90,,,,,,,,,,,,,,
-7.894200,-35.173300,112.10,120.60,87.40,49.20,52.70,112.10,52.20,139.20,55.30,75.80,118.90,65.40,,,,,,,,,,,,,,
-7.942800,-35.634200,64.80,49.60,45.60,21.20,58.10,81.10,51.40,93.50,45.70,73.80,98.30,52.10,,,,,,,,,,,,,,
-7.878900,-35.451900,63.70,59.80,50.60,41.60,43.80,68.90,58.90,94.60,50.60,155.60,125.50,98.40,,,,,,,,,,,,,,
-7.528300,-35.999700,19.20,29.40,34.20,18.00,85.80,144.00,73.80,51.40,34.70,96.20,51.00,47.80,,,,,,,,,,,,,,
-7.842800,-35.182500,56.50,111.20,78.40,48.80,61.50,130.10,56.10,72.70,52.70,59.50,119.80,77.70,,,,,,,,,,,,,,
-7.854700,-35.764400,30.80,44.60,40.00,33.80,100.40,59.20,49.10,42.30,26.60,55.30,45.40,50.50,,,,,,,,,,,,,,
-7.910000,-35.988600,38.20,57.30,65.00,36.70,59.40,80.60,52.20,65.70,25.70,49.70,36.40,47.10,,,,,,,,,,,,,,
-7.217500,-36.828900,119.20,58.40,114.00,40.40,110.00,52.60,41.50,70.90,44.00,93.50,50.00,123.20,,,,,,,,,,,,,,
-7.986400,-36.500600,52.10,64.70,90.10,13.40,48.50,63.50,55.30,50.20,20.00,68.50,71.10,82.10,,,,,,,,,,,,,,
-7.961900,-36.202200,29.40,28.60,55.50,40.80,89.30,61.50,45.10,50.50,31.10,86.80,25.00,44.70,,,,,,,,,,,,,,
-7.903900,-36.046900,52.00,54.00,74.20,36.00,121.00,54.20,95.20,84.00,47.60,64.00,81.40,70.00,,,,,,,,,,,,,,
-7.214200,-37.925800,149.00,97.00,75.00,89.00,54.00,76.70,68.20,87.30,67.30,90.00,74.00,53.50,,,,,,,,,,,,,,
-7.738900,-37.648300,82.40,86.40,121.20,67.80,65.40,43.40,89.40,76.40,41.20,75.00,59.20,148.60,,,,,,,,,,,,,,
-7.867800,-37.972500,87.00,79.00,82.00,26.50,66.60,82.00,58.00,83.00,36.00,57.70,110.00,33.50,,,,,,,,,,,,,,
-7.299700,-38.984700,83.10,66.70,88.10,72.30,81.70,52.80,68.20,73.60,64.00,108.10,112.30,60.60,,,,,,,,,,,,,,
-7.449700,-41.477500,74.80,54.50,90.30,51.50,55.40,89.20,73.10,56.10,,,,,,,,,,,,,,,,,,
