,Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latitude,Longitude,P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm)
-19.6783,-41.8361,96,90.2,132.1,106,116.4,80.5,99.2,59.3,,129.6,103.5,,,,,,,,,,,,,,,
-19.0592,-41.0275,98.2,60.4,54.8,51.7,53.5,70,64,82,,117.7,66.9,,,,,,,,,,,,,,,
-19.8111,-41.4378,48.4,92.4,120,92.6,106.4,74.2,76.2,60.6,,91.9,118.3,,,,,,,,,,,,,,,
-19.8336,-42.3178,55.4,74.6,85.5,65,150.3,90.1,70.3,109.5,,103,85.3,,,,,,,,,,,,,,,
-19.9989,-42.3475,70.2,77.4,127.2,90.2,69.6,190.8,105.2,104.2,,131.7,72.5,,,,,,,,,,,,,,,
-19.3736,-42.105,120,83.6,117.8,80,77.7,62,69.1,82.6,,90.3,94.5,,,,,,,,,,,,,,,
-19.3164,-42.3961,162.6,78.4,93,103,137,72.6,66.9,85,,102.2,193.2,,,,,,,,,,,,,,,
-19.7769,-42.4769,79.3,68.1,115.3,57.4,76.4,148,59.9,87.5,,69,160,,,,,,,,,,,,,,,
-19.1886,-42.4228,112.7,63.8,115.2,109,95.2,81.9,95.7,85.7,,105,131.7,,,,,,,,,,,,,,,
-19.9228,-43.1778,73,67.5,117.2,116,83.9,75.7,75.6,101.8,,70.4,77.4,,,,,,,,,,,,,,,
-19.0167,-43.4442,145.5,81.9,76.6,66.8,87,85.7,114.4,100.5,,127.8,116.8,,,,,,,,,,,,,,,
-19.2503,-43.0144,84,70.8,110.4,69.4,47.8,75.7,77.8,79.1,,89.6,94.3,,,,,,,,,,,,,,,
-19.9453,-43.4011,54,78.7,103.7,101.5,79.5,88.9,93.8,98.5,,60.2,100.1,,,,,,,,,,,,,,,
-19.4403,-43.1186,98.4,81.4,110.4,112.4,107.4,77.5,80.9,112.5,,91.9,103.7,,,,,,,,,,,,,,,
-19.9028,-43.6664,147.1,85.6,118.2,67.5,107.3,133.9,63,85.2,140.3,127.2,77.6,,,,,,,,,,,,,,,
-19.6639,-43.6881,147.2,120.5,143.3,71.5,72.9,105.3,89.7,88,68.2,64.5,105.6,,,,,,,,,,,,,,,
-19.2175,-43.3742,144.5,96.7,84.7,93,77,101,95.2,79.4,,143,113.2,,,,,,,,,,,,,,,
-19.8808,-43.3675,132.4,72.6,112,116.7,85.9,91,72.9,103,,90.6,90,,,,,,,,,,,,,,,
-19.9489,-44.4722,114.4,89,95.8,65.4,61.2,114.8,50,65,82.4,101.8,88.8,,,,,,,,,,,,,,,
-19.9642,-44.4519,97.4,126.6,106.6,80.4,64.8,112.4,91,70.3,129,70.8,82.7,,,,,,,,,,,,,,,
-19.9556,-44.3344,110,88.6,113.5,72,57.8,137.4,69.7,83,101.2,99.7,71.1,,,,,,,,,,,,,,,
-19.4283,-44.7197,161.1,91.2,176,74.5,83.8,127,52.5,132.7,76.4,62.6,53.7,,,,,,,,,,,,,,,
-19.5631,-44.4469,107.5,104.6,85.8,97.6,64.8,95.2,57.6,79.8,66.2,67.4,91.2,,,,,,,,,,,,,,,
-19.4686,-45.6017,71.8,71,85.8,72,93,91,50,76.4,80,70,91.7,,,,,,,,,,,,,,,
-19.2786,-45.2858,134.6,81.4,66.8,56.2,72.6,74.8,65,114.4,78.5,172.5,131,,,,,,,,,,,,,,,
-19.8794,-46.0328,84.7,69.9,107.8,74.3,64.3,104.3,91.4,99.2,89.7,88.3,93.7,,,,,,,,,,,,,,,
-19.0706,-46.7958,80.1,46.8,81.6,53.8,48.8,77.3,71.8,72.7,67.1,111.2,80.1,,,,,,,,,,,,,,,
-19.5167,-46.5711,59,61.7,123.6,84.6,74.7,81.5,97.9,55.3,101.3,53,57.3,,,,,,,,,,,,,,,
-19.9269,-46.8253,71,47.1,80.2,57.6,63.4,65.7,85.2,46.5,72.8,79.4,65.8,,,,,,,,,,,,,,,
-19.0033,-46.3061,39.6,63.2,67,56.7,148.5,116.1,87.5,72.4,66.9,96,53.3,,,,,,,,,,,,,,,
-19.3158,-47.5261,110.3,64.2,92.3,81.2,66.8,107.6,119.7,110,84.4,115,54.3,,,,,,,,,,,,,,,
-19.1467,-47.1847,102,45.4,92.6,86.2,58.5,72,100.2,131.8,91.2,128.6,92,,,,,,,,,,,,,,,
-19.3486,-47.2953,78.5,87.3,82.3,122,66.3,130.8,90.3,110.3,78,116,68,,,,,,,,,,,,,,,
-19.7706,-48.5742,70.6,95,123.2,65.8,69.8,91.8,72.4,112.2,71,116.6,85,85,,,,,,,,,,,,,,
-19.0353,-49.6967,120.2,38.4,90.4,146.8,56.4,78.2,96.4,82.4,65.8,69.8,67.2,,,,,,,,,,,,,,,
-19.7247,-50.1917,100,51.8,71.5,63,105.5,90.2,50.2,85.4,119,80,68.9,,,,,,,,,,,,,,,
-19.2081,-50.6628,76.3,98.7,75,90.7,60.4,113,50.4,51.4,137.5,75.5,83.4,,,,,,,,,,,,,,,
-19.1364,-51.5344,63.4,85,79.2,57.1,69.3,,,,77,113,70,88.6,,,,,,,,,,,,,,
-20.415,-40.4853,71,80.3,95.2,58.3,82.4,156.4,76.1,67.2,,,,,,,,,,,,,,,,,,
-20.7836,-40.8258,76.4,90,153,59,116,87.2,65.6,91.3,,,,,,,,,,,,,,,,,,
-20.0281,-40.7442,69.8,88.3,96.4,55.1,80.2,123.2,109.6,49.6,,,,,,,,,,,,,,,,,,
-20.8036,-40.6556,25,110,64.7,86.7,75.3,68.4,65.6,86.7,,,,,,,,,,,,,,,,,,
-20.5567,-40.8114,127,70.2,77.2,65.2,62.4,66.8,135.2,105.4,,,,,,,,,,,,,,,,,,
-20.4119,-40.6822,55,118,105,60,85,150,80,74,,,,,,,,,,,,,,,,,,
-20.7281,-40.8825,94,78,113,93,88.3,87.3,58.5,149.3,,,,,,,,,,,,,,,,,,
-20.0794,-40.6067,58.4,109,90.6,41.4,83.4,145.9,91.8,43.3,,,,,,,,,,,,,,,,,,
-20.5875,-40.9492,,,,27,59,91.3,88.1,77.5,,,,,,,,,,,,,,,,,,
-20.7736,-41.6817,64.3,68.5,70.8,102.6,109.2,77.6,76.3,95.6,96.7,87.6,117.2,,,,,,,,,,,,,,,
-20.6056,-41.1997,59,80,103.4,55.4,48.2,74.7,62.5,55.2,,,,,,,,,,,,,,,,,,
-20.7469,-41.4661,70.2,106.8,96.4,80,92.2,114,55,70.6,,,,,,,,,,,,,,,,,,
