Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
02449021,DR. ULISSES,81,DOUTOR ULYSSES,PARANÁ,AGUASPARANÁ,-24.5669,-49.4194,1974-08-01,2017-09-30,44,3.2,39,11.4
02449023,SÃO SEBASTIÃO,81,CERRO AZUL,PARANÁ,AGUASPARANÁ,-24.85,-49.4667,1974-08-01,2017-09-30,44,3.7,37,15.9
02449024,TUNAS,81,TUNAS DO PARANÁ,PARANÁ,AGUASPARANÁ,-24.9667,-49.0831,1974-06-26,2017-09-30,44,3.8,38,13.6
02449026,ABAPÃ,64,CASTRO,PARANÁ,AGUASPARANÁ,-24.9375,-49.8242,1975-11-01,2017-09-30,43,3.2,39,9.3
02449028,SOCAVÃO,64,CASTRO,PARANÁ,AGUASPARANÁ,-24.7744,-49.7,1975-11-01,2017-09-30,43,3.6,38,11.6
02449030,TABOR (FAZENDA MARÃO),64,CASTRO,PARANÁ,AGUASPARANÁ,-24.6331,-49.6831,1975-11-17,2017-08-31,43,3.3,34,20.9
02449032,CAPINZAL - PIRAI DO SUL,64,PIRAÍ DO SUL,PARANÁ,AGUASPARANÁ,-24.5003,-49.7264,1975-11-05,2017-09-30,43,3.2,39,9.3
02449036,EDUARDO XAVIER DA SILVA,64,JAGUARIAÍVA,PARANÁ,AGUASPARANÁ,-24.3831,-49.5831,1975-11-06,2017-09-30,43,3.4,38,11.6
02449040,JAGUARIAIVA,64,JAGUARIAÍVA,PARANÁ,AGUASPARANÁ,-24.2642,-49.7317,1975-11-08,2017-09-30,43,3.6,37,14.0
02449044,SENGES,64,SENGES,PARANÁ,AGUASPARANÁ,-24.1,-49.4667,1975-11-07,2017-09-30,43,3.4,38,11.6
02449057,CATAS ALTAS,81,RIBEIRA,SÃO PAULO,DAEE-SP,-24.6167,-49.05,1975-03-13,2018-05-31,44,1.2,37,15.9
02449063,BALSA DO JACARÉ,81,RIO BRANCO DO SUL,PARANÁ,ANA,-24.9667,-49.4667,1978-09-03,2017-08-31,40,0.0,35,12.5
02450002,TIBAJI,64,TIBAGI,PARANÁ,AGUASPARANÁ,-24.5108,-50.4,1938-04-01,2017-12-31,80,2.4,70,12.5
02450011,TELÊMACO BORBA,64,TELÊMACO BORBA,PARANÁ,IAPAR,-24.3333,-50.6167,1971-12-01,2016-06-30,46,7.5,40,13.0
02450013,CHÁCARA CACHOEIRA,64,CASTRO,PARANÁ,ANA,-24.7667,-50.0667,1975-01-12,2017-09-30,43,3.1,38,11.6
02450021,BOCAINA,64,PONTA GROSSA,PARANÁ,AGUASPARANÁ,-24.9831,-50.2667,1975-10-11,2017-05-31,43,3.2,39,9.3
02450024,CATANDUVA DE FORA (RONCA PORCO),64,CARAMBEÍ,PARANÁ,AGUASPARANÁ,-24.95,-50.0,1975-11-01,2017-09-30,43,3.4,39,9.3
02450025,FAZENDA SÃO CARLOS (SABÃO),64,TIBAGI,PARANÁ,AGUASPARANÁ,-24.6831,-50.3,1975-11-02,2017-05-31,43,3.7,36,16.3
02450026,COLÔNIA IAPÓ,64,CASTRO,PARANÁ,AGUASPARANÁ,-24.6331,-50.1331,1975-11-02,2017-09-30,43,3.2,39,9.3
02450031,GUARICANGA - PIRAI DO SUL,64,PIRAÍ DO SUL,PARANÁ,AGUASPARANÁ,-24.3667,-50.1,1975-11-16,2017-09-30,43,4.8,35,18.6
02450034,VENTANIA,64,TIBAGI,PARANÁ,AGUASPARANÁ,-24.2167,-50.2331,1975-10-14,2017-09-30,43,3.6,37,14.0
