station_id,time_step_min,n_obs,nan_frac,years_span_yr,first_date,last_date,had_zero_year,daily_mean_mm,daily_max_mm,max_24h_mm,coeffs_nonan
60883000,30,147703,0,9.58832145766169,31-May-2015 22:00:00,31-Dec-2024 23:30:00,0,4.65982532751092,57.75,63.75,7
60805100,30,113317,0,6.63548875062459,14-May-2018 10:00:00,31-Dec-2024 23:30:00,0,4.26929245283019,38.3,43.8,7
60787000,30,130150,0,7.5729937416009,06-Jun-2017,31-Dec-2024 23:30:00,0,4.9715923566879,52.5,56.7,7
60781000,15,377502,0,11.0008818342152,01-Jan-2014,31-Dec-2024 23:45:00,0,3.18869441816462,30.6,34.95,8
60710800,60,74779,0,9.00212415951959,01-Jan-2016,31-Dec-2024 23:00:00,0,8.29747474747475,124,124,6
60670100,60,45177,0,9.63401028084081,15-May-2015 05:00:00,31-Dec-2024 23:00:00,0,23.734221598878,332.8,408.8,6
60641100,30,70674,0,4.07543161963171,04-Dec-2020 11:00:00,31-Dec-2024 23:30:00,0,4.73496503496503,57.1,57.1,7
60635200,15,138185,0,4.36507936507936,20-Aug-2020 16:15:00,31-Dec-2024 23:45:00,0,2.08423180592992,15.35,17.7,8
60617000,30,83816,0,4.84432717076098,27-Feb-2020 15:00:00,31-Dec-2024 23:30:00,0,5.33861607142857,59.1,62,7
60591000,60,60204,4.9830576041459e-05,7.89589564923761,08-Feb-2017 01:00:00,31-Dec-2024 23:00:00,0,9.59358974358975,154.6,161.6,6
60544990,60,72766,5.49707280872935e-05,8.41678245731717,01-Aug-2016 19:00:00,31-Dec-2024 23:00:00,0,9.39278969957081,101.4,113,6
60510100,60,71159,4.21591084753861e-05,8.41678245731717,01-Aug-2016 19:00:00,31-Dec-2024 23:00:00,0,10.8934782608696,93.6,94.4,6
60500000,60,72093,4.16129166493279e-05,8.41678245731717,01-Aug-2016 19:00:00,31-Dec-2024 23:00:00,0,10.1694117647059,102.6,102.6,6
60479280,15,202209,0.000138470592307959,6.67738443180444,29-Apr-2018,31-Dec-2024 20:45:00,0,5.78505477308294,195.85,199.65,8
60478610,15,196720,0,5.85752388253466,22-Feb-2019 10:45:00,31-Dec-2024 20:45:00,0,2.32222222222222,16.95,17.95,8
