reference_key,source_sheet,source_row,station_code,station_name,latitude_xlsx,longitude_xlsx,lat_key,lon_key,K_r_sampled,a_r_sampled,b_r_sampled,c_r_sampled,latitude_metric,longitude_metric,K,a,b,c,K_r_metric,a_r_metric,b_r_metric,c_r_metric,K_r_abs_diff_sampled_minus_metric,K_r_rel_diff_pct_sampled_minus_metric,a_r_abs_diff_sampled_minus_metric,a_r_rel_diff_pct_sampled_minus_metric,b_r_abs_diff_sampled_minus_metric,b_r_rel_diff_pct_sampled_minus_metric,c_r_abs_diff_sampled_minus_metric,c_r_rel_diff_pct_sampled_minus_metric,max_abs_rel_diff_pct_sampled_vs_metric
standard,Standard,260,1753000,Alto Araguaia,-17.3,-53.2194,-17.3,-53.2194,1042.923828125,0.16360996663570404,2.9438507556915283,0.7904951572418213,-17.3,-53.2194,7339.183,0.121,37.977,1.161,658.137,0.15945153,0.4392929,0.78094447,384.78682812500006,58.46606832999817,0.0041584366357040325,2.6079628309016742,2.5045578556915284,570.1339256089794,0.009550687241821287,1.2229662426345482,570.1339256089794
standard,Standard,264,254000,Santarém,-2.4433,-54.7025,-2.4433,-54.7025,4993.98486328125,0.15776056051254272,56.11842727661133,0.9691934585571289,-2.4433,-54.7025,2980.0,0.0931,27.0,0.8835,751.65656,0.1265537,20.140556,0.7801958,4242.32830328125,564.3971634174588,0.031206860512542733,24.658987064418294,35.977871276611324,178.63395269033944,0.1889976585571289,24.224388103233693,564.3971634174588
standard,Standard,296,2352019,Cianorte,-23.66666667,-52.58333333,-23.66667,-52.58333,26957.31640625,0.15749624371528625,114.98115539550781,1.216653823852539,-23.66666667,-52.58333333,2115.81,0.145,22.0,0.849,4260.9507,0.14046645,70.54976,0.99471647,22696.36570625,532.6596645732136,0.017029793715286262,12.123744648836972,44.431395395507806,62.97880445731892,0.2219373538525391,22.311619496210724,532.6596645732136
standard,Standard,88,1645009,Cachoeira da Manteiga,-16.6569,-45.0808,-16.6569,-45.0808,25891.693359375,0.20242148637771606,152.72885131835938,1.2412197589874268,-16.6569,-45.0808,3794.292,0.232,34.584,1.013,4213.3545,0.18686205,80.974525,1.0272597,21678.338859375,514.514951432997,0.015559436377716063,8.326696821380297,71.75432631835938,88.61345752674606,0.21396005898742665,20.82823447541324,514.514951432997
standard,Standard,222,2143055,Barbacena,-21.25,-43.7667,-21.25,-43.7667,34253.38671875,0.1751365214586258,143.4142608642578,1.2897530794143677,-21.25,-43.7667,3000.0,0.208,23.08,1.003,5589.157,0.15624757,73.6844,1.0588585,28664.22971875,512.8542590367385,0.01888895145862579,12.08911694346721,69.72986086425782,94.63313925913467,0.23089457941436775,21.805990074629214,512.8542590367385
standard,Standard,323,-,Laranjeiras do Sul,-25.41666667,-52.41666667,-25.41667,-52.41667,51995.4296875,0.15970247983932495,143.6551055908203,1.3080388307571411,-25.41666667,-52.41666667,771.97,0.148,8.0,0.726,8577.235,0.21425216,74.28861,1.0728393,43418.1946875,506.2026945455033,-0.054549680160675046,-25.460504183796814,69.3664955908203,93.37433503039065,0.23519953075714106,21.923090509188192,506.2026945455033
standard,Standard,470,2252036,Fazenda Guana,-22.31666667,-52.65,-22.31667,-52.65,8199.2392578125,0.16232214868068695,89.0621337890625,1.0604536533355713,-22.31666667,-52.65,1533.476,0.12,25.0,0.763,1362.1554,0.1770568,45.024044,0.86761075,6837.0838578125,501.931267006136,-0.014734651319313036,-8.32199120243506,44.0380897890625,97.81016069783179,0.1928429033355713,22.22689187928703,501.931267006136
standard,Standard,469,2251015,Fazenda Vista Bonita,-22.51666667,-51.81666667,-22.51667,-51.81667,8071.47216796875,0.1859721690416336,94.84415435791016,1.0620208978652954,-22.51666667,-51.81666667,1633.205,0.111,21.157,0.831,1392.2303,0.21407518,41.799232,0.8574905,6679.24186796875,479.75122132945603,-0.028103010958366398,-13.127636262347835,53.04492235791015,126.90405976337114,0.20453039786529537,23.85220569385846,479.75122132945603
standard,Standard,302,2452061,Palmital,-24.88333333,-52.21666667,-24.88333,-52.21667,50228.51171875,0.13529616594314575,130.9312286376953,1.2879092693328857,-24.88333333,-52.21666667,1548.46,0.13,16.0,0.834,8688.891,0.16516033,72.485565,1.0781121,41539.62071875,478.07736014584594,-0.029864164056854242,-18.081923217793427,58.44566363769532,80.63076232860338,0.20979716933288572,19.459680429603353,478.07736014584594
standard,Standard,445,2151008,Panorama,-21.35,-51.85,-21.35,-51.85,5458.64013671875,0.17496441304683685,85.64077758789062,1.0102933645248413,-21.35,-51.85,2000.0,0.101,23.017,0.867,966.809,0.17305101,36.328568,0.8257744,4491.83113671875,464.60377765605716,0.001913403046836848,1.1056873038977628,49.31220958789063,135.7394808072001,0.1845189645248413,22.344960624214224,464.60377765605716
standard,Standard,395,8161001,Caracaraí,1.8214,-61.1236,1.8214,-61.1236,4237.98779296875,0.20026789605617523,47.57821273803711,0.9550676345825195,1.8214,-61.1236,860.7,0.1635,0.0,0.7595,798.3995,0.13743599,22.920645,0.8061199,3439.58829296875,430.8104267310726,0.06283190605617522,45.7172142873022,24.65756773803711,107.57798368255828,0.14894773458251953,18.47711917079823,430.8104267310726
standard,Standard,457,2247031,Usina Ester,-22.6667,-47.2167,-22.6667,-47.2167,7549.01123046875,0.17481818795204163,40.790504455566406,1.0828927755355835,-22.6667,-47.2167,1811.9,0.1739,15.1,0.8801,1606.1537,0.15988292,8.129964,0.887679,5942.85753046875,370.0055312557416,0.014935267952041614,9.341378023394627,32.660540455566405,401.73044377030953,0.1952137755355835,21.991482904922105,401.73044377030953
standard,Standard,458,2247031,Usina Ester,-22.6667,-47.2167,-22.6667,-47.2167,7549.01123046875,0.17481818795204163,40.790504455566406,1.0828927755355835,-22.6667,-47.2167,1811.9,0.1739,15.1,0.8801,1606.1537,0.15988292,8.129964,0.887679,5942.85753046875,370.0055312557416,0.014935267952041614,9.341378023394627,32.660540455566405,401.73044377030953,0.1952137755355835,21.991482904922105,401.73044377030953
standard,Standard,419,-,Pelotas,-31.77611111,-52.35944444,-31.77611,-52.35944,11953.9619140625,0.16961941123008728,95.1345443725586,1.115509271621704,-31.77611111,-52.35944444,1100.0,0.163,16.47,0.766,2505.0115,0.16967115,43.090584,0.94230384,9448.9504140625,377.20187767850564,-5.1738769912712534e-05,-0.030493557633523752,52.043960372558594,120.77803441364033,0.1732054316217041,18.38105972503562,377.20187767850564
standard,Standard,301,2452013,Nova Cantu,-24.66666667,-52.56666667,-24.66667,-52.56667,42566.265625,0.12855497002601624,120.17325592041016,1.2714011669158936,-24.66666667,-52.56666667,2778.43,0.149,24.0,0.94,9378.683,0.1157526,71.77249,1.0994081,33187.582624999995,353.8618655199242,0.012802370026016238,11.060114438912162,48.40076592041015,67.4363755812431,0.17199306691589356,15.644151331602302,353.8618655199242
