station_id,reference_key,source_sheet,source_row,station_code,station_name,latitude,longitude,n_bias_values,median_bias_pct,mean_bias_pct,std_bias_pct,max_abs_bias_pct,p95_abs_bias_pct,K,a,b,c,K_r,a_r,b_r,c_r
standard_row69,standard,Standard,69,1543013,Janaúba,-15.7756,-43.27969999,128,-9.971604447069376,-0.19876434444016544,33.72190191751429,123.89119328853795,71.13571066731785,4323.837,0.224,45.869,1.03,1010.4324951171875,0.15747857093811035,3.415837049484253,0.8174521923065186
standard_row132,standard,Standard,132,1846018,Patos de Minas,-18.6,-46.5167,128,6.273223613765755,19.697704867666417,31.57457603358916,123.85170984712131,94.3233873379708,2837.142,0.208,29.438,0.943,1887.065673828125,0.17632539570331573,6.074585437774658,0.8740910291671753
disaggregation_row79,disaggregation,Disaggregation,79,,,-19.7847,-53.9639,128,-4.646268118494902,7.368125487084818,32.44690999867643,123.8189797110364,98.86421197805774,5471.1,0.183,32.67,1.06,1238.59619140625,0.156539186835289,9.246437072753906,0.8097564578056335
standard_row36,standard,Standard,36,83557,Boa Esperança,-18.51666667,-40.31666667,128,-1.0443406542623757,9.884855091751076,39.9345656650747,123.59837069080221,85.05738968957083,596.38,0.23,8.534,0.67,1344.4107666015625,0.17920584976673126,3.4210076332092285,0.8064990639686584
disaggregation_row380,disaggregation,Disaggregation,380,,,-23.2833,-45.5333,128,12.328057154961412,26.91926330474696,38.646255088587594,123.08040288002096,116.08823487009576,883.1,0.1644,13.9,0.7703,1367.1348876953125,0.1708657443523407,4.8493266105651855,0.8476383090019226
standard_row288,standard,Standard,288,442004,Campo Maior,-4.8167,-42.1833,128,25.065928265476316,30.350108094326213,27.453578008509606,122.84900543834743,82.86025464847285,1738.6,0.1363,22.3,0.838,1549.2652587890625,0.21739080548286438,11.214983940124512,0.8465719223022461
standard_row420,standard,Standard,420,2649020,Blumenau,-26.91666667,-49.05,128,20.91467421011114,32.640782880348745,27.366769510039216,119.43971070864258,107.54810521705552,6649.15,0.21,43.0,1.1,3531.921630859375,0.19754056632518768,33.32818603515625,0.9453481435775757
disaggregation_row101,disaggregation,Disaggregation,101,,,-20.1019,-52.9258,128,-13.314055177193094,-3.222264708328041,31.61798392409988,118.47499447798872,78.30649877868662,5496.57,0.193,32.85,1.06,1105.2506103515625,0.1474672555923462,8.492426872253418,0.7980931997299194
disaggregation_row296,disaggregation,Disaggregation,296,,,-29.82,-51.1611,128,33.987946498016925,47.04773121137487,31.02043103896989,117.92094704367771,112.05380576430751,1685.6,0.1594,23.3,0.838,2603.15625,0.15329915285110474,11.556527137756348,0.8738589882850647
standard_row83,standard,Standard,83,1642029,UHE Irapé Rio Itacambiruçu,-16.5925,-42.9164,128,12.907156628890341,24.530245868471066,32.025196181319615,117.52193483181492,115.10342864523453,5618.979,0.199,37.915,1.074,1261.4376220703125,0.20126989483833313,6.720371246337891,0.8295471668243408
disaggregation_row125,disaggregation,Disaggregation,125,,,-22.0142,-57.0322,128,12.408728383516037,24.08376498649813,28.568090203848428,117.13982896203832,96.22011478487654,6395.67,0.203,32.61,1.05,2849.513671875,0.2235739827156067,24.91872787475586,0.8921840190887451
standard_row476,standard,Standard,476,2346003,Vinhedo,-23.0333,-46.9667,128,52.71706635373251,46.65638948610149,37.92284867859615,117.13924077875663,98.79874752491229,572.5,0.2378,8.0,0.7577,8033.58349609375,0.18539346754550934,44.526668548583984,1.0811619758605957
disaggregation_row91,disaggregation,Disaggregation,91,,,-19.3592,-56.4092,128,6.897495827170126,16.772933619234053,30.065761431377457,116.91922516724418,88.84226789581358,6002.67,0.213,32.84,1.06,1554.2315673828125,0.1819642037153244,5.530942440032959,0.8274089097976685
disaggregation_row82,disaggregation,Disaggregation,82,,,-19.4397,-54.9833,128,-2.4942045716241426,8.733511995241244,31.907786814824505,116.63316917512417,99.89290148845976,6018.5,0.213,32.81,1.06,1223.2691650390625,0.1950082778930664,5.8966450691223145,0.8022692203521729
disaggregation_row27,disaggregation,Disaggregation,27,,,-6.1167,-39.45,128,36.93514808107633,36.32599803995409,35.704105169583556,115.84847802704344,91.16606204724307,407.99,0.0765,0.0,0.6567,1502.483154296875,0.16111554205417633,14.448298454284668,0.8697778582572937
disaggregation_row3,disaggregation,Disaggregation,3,,,-8.93527778,-72.785,128,42.35016490796784,39.227144039992915,40.72124874224863,115.82522846809911,102.35818402705712,668.49,0.2501,9.19,0.7062,3087.90576171875,0.1894587129354477,12.93111801147461,0.8980020880699158
